No.,Tanggal,Nomor,ATM ID,Lokasi,Jenis Layanan,Laporan Kerusakan,Pekerjaan Dilakukan,Nomor Tiket,Penggantian Sparepart,Jumlah Part,Status,CSE,Pilihan
45,19 Oktober 2020,89392,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
46,30 Januari 2020,87625,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ",2001-0142 , , , ,Rajamin Nasution ,
47,23 Maret 2020,83004,ATM20002005,KCP GOLDEN,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device, replace, test OK. ", ,Stripper SnapOnWheel Wide Standard  *** NEW *** ,2 , ,Rajamin Nasution ,
48,24 Maret 2020,83003,ATM20002005,KCP GOLDEN,Error ,Hardware ,"Check & Clean all devices, no replace, Setting tray stacker,  test OK. ", , , , ,Rajamin Nasution ,
49,26 November 2020,89386,ATM20002005,KCP GOLDEN,PM 2 ,Preventive Maintenance ,"General Maintenance, Check & Clean all device, replace Feed Shaft, SW, TAW, test OK. ", ,Feedshaft *OPTEVA* ,1 , ,Rajamin Nasution ,
,,,,,,,,,Stripper SnapOnWheel Wide Standard  *** NEW *** ,1 , ,Rajamin Nasution ,
,,,,,,,,,WHL T/A OVRMLD ( TAKE AWAY SNAP ON WHEEL ** NEW ** ,1 , ,Rajamin Nasution ,
50,30 April 2020,87442,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
51,22 Desember 2020,89373,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
52,31 Agustus 2020,87408,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
53,25 Juni 2020,87421,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
54,28 September 2020,87401,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
