No.,Tanggal,Nomor,ATM ID,Lokasi,Jenis Layanan,Laporan Kerusakan,Pekerjaan Dilakukan,Nomor Tiket,Penggantian Sparepart,Jumlah Part,Status,CSE,Pilihan
83.0,07 Mei 2020,87433.0,ATM20002026,RSUP H. ADAM MALIK,Error & PM ,Preventive Maintenance ,"Check & Clean all devices, replace feed shaft, taw, sw, test OK. ", ,Take Away wheel ,2 , ,Rajamin Nasution ,
84.0,20 Mei 2020,87428.0,ATM20002026,RSUP H. ADAM MALIK,Error , ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
85.0,20 Oktober 2020,89394.0,ATM20002029,ATM INDOMARET KAPTEN MUSLIM 2 (TO35),Error & PM ,Hardware ,"Check & Clean all devices, replace consumer printer opteva, test OK. ", ,Consumer Receipt Printer ,1 , ,Rajamin Nasution ,
86.0,06 November 2020,89380.0,ATM20002029,ATM INDOMARET KAPTEN MUSLIM 2 (TO35),Other ,Non Hardware ,"Check all devices, install ulang OS ATMtest OK. ", , , , ,Rajamin Nasution ,
87.0,26 November 2020,89387.0,ATM20002030,ATM INDOMARET MANDALA BY PASS 2 (T7ZY),Support ,Non Hardware ,"Check & Clean all devices, replace no replace, test OK. ", , , , ,Rajamin Nasution ,
88.0,08 Agustus 2020,87406.0,ATM20002031,INDOMARET HARJO SARI,Support ,Hardware ,"Check & Clean all devices, replace kunci fascia atas, test OK. ", , , , ,Rajamin Nasution ,
89.0,06 November 2020,89379.0,ATM20002032,ATM INDOMARET A.H NASUTION,Other ,Non Hardware ,"Check all devices, test OK. ", , , , ,Rajamin Nasution ,
90.0,08 April 2020,87447.0,ATM20002032,ATM INDOMARET A.H NASUTION,3rd PM,Hardware ,"General Maintenance, Check & Clean all device, replace EPP 5, CCA DSP, test OK. ",2004-042 ,"EPP5(BSC),LGE,STTL,ENG(AU),QZ1,BLANK,X,I,O ",1 , ,Rajamin Nasution ,
90.0,08 April 2020,87447.0,ATM20002032,ATM INDOMARET A.H NASUTION,3rd PM,Hardware ,"General Maintenance, Check & Clean all device, replace EPP 5, CCA DSP, test OK. ",2004-042 ,CCA AFD (CCA DISP OPTEVA) ,1 , ,Rajamin Nasution ,
91.0,06 April 2020,87448.0,ATM20002032,ATM INDOMARET A.H NASUTION,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device, replace HDD test OK. ",2004-042 ,HARDDISK UP TO 250GB ,1 , ,Rajamin Nasution ,
92.0,19 Oktober 2020,89396.0,ATM20002032,ATM INDOMARET A.H NASUTION,Support ,Hardware ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
93.0,17 Mei 2020,87431.0,ATM20002033,ATM INDOMARET DARUSSALAM,Error & PM ,Hardware ,"Check & Clean all devices, replace feed shaft, S/W, TAW, test OK. ", ,Feed Shaft ,2 , ,Rajamin Nasution ,
93.0,17 Mei 2020,87431.0,ATM20002033,ATM INDOMARET DARUSSALAM,Error & PM ,Hardware ,"Check & Clean all devices, replace feed shaft, S/W, TAW, test OK. ", ,Stripper Wheel ,2 , ,Rajamin Nasution ,
93.0,17 Mei 2020,87431.0,ATM20002033,ATM INDOMARET DARUSSALAM,Error & PM ,Hardware ,"Check & Clean all devices, replace feed shaft, S/W, TAW, test OK. ", ,Take Away wheel ,2 , ,Rajamin Nasution ,
94.0,23 Maret 2020,83005.0,ATM20002034,INDOMARET MENTENG 7,Error & PM ,Hardware ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
95.0,13 Juni 2020,87427.0,ATM20002038,,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
96.0,09 Mei 2020,87429.0,ATM20002038,,Error & PM ,Preventive Maintenance ,"Check & Clean all devices, install ulang os atm, no replace, test OK. ", , , , ,Rajamin Nasution ,
97.0,17 Maret 2020,83006.0,ATM20002041,CENTER POINT,Error & PM ,Hardware ,"Check & Clean all devices, replace EPP,  test OK. ",200303211 ,"EPP5(BSC),LGE,STTL,ENG(AU),QZ1,BLANK,X,I,O ",1 , ,Rajamin Nasution ,
98.0,06 Agustus 2020,87405.0,ATM20002043,KK LUBUK PAKAM,Installation ,Installation ,"Instalasi ATM, Check all devices, test OK. ", ,Feedshaft *OPTEVA* ,2 , ,Rajamin Nasution ,
98.0,06 Agustus 2020,87405.0,ATM20002043,KK LUBUK PAKAM,Installation ,Installation ,"Instalasi ATM, Check all devices, test OK. ", ,Stripper SnapOnWheel Wide Standard  *** NEW *** ,2 , ,Rajamin Nasution ,
98.0,06 Agustus 2020,87405.0,ATM20002043,KK LUBUK PAKAM,Installation ,Installation ,"Instalasi ATM, Check all devices, test OK. ", ,WHL T/A OVRMLD ( TAKE AWAY SNAP ON WHEEL ** NEW ** ,2 , ,Rajamin Nasution ,
99.0,19 Oktober 2020,89397.0,ATM20002043,KK LUBUK PAKAM,Support ,Hardware ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
100.0,12 Agustus 2020,87407.0,ATM20002044,KK STABAT,Installation ,Installation ,"Instalasi ATM, Check all devices, test OK. ", ,Feedshaft *OPTEVA* ,2 , ,Rajamin Nasution ,
100.0,12 Agustus 2020,87407.0,ATM20002044,KK STABAT,Installation ,Installation ,"Instalasi ATM, Check all devices, test OK. ", ,Stripper SnapOnWheel Wide Standard  *** NEW *** ,2 , ,Rajamin Nasution ,
100.0,12 Agustus 2020,87407.0,ATM20002044,KK STABAT,Installation ,Installation ,"Instalasi ATM, Check all devices, test OK. ", ,WHL T/A OVRMLD ( TAKE AWAY SNAP ON WHEEL ** NEW ** ,2 , ,Rajamin Nasution ,
101.0,28 Maret 2020,82347.0,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
102.0,29 Mei 2020,82314.0,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
103.0,17 Februari 2020,85014.0,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
104.0,30 Juli 2020,86288.0,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
105.0,05 Agustus 2020,86344.0,ATM20003001,BKP PADANG 1,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device, Input Master Key, test OK. ", , , , ,Doni Indra ,
106.0,10 Januari 2020,85043.0,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
107.0,29 September 2020,86277.0,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
108.0,30 April 2020,82330.0,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
109.0,28 November 2020,86306.0,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
110.0,30 Juni 2020,82305.0,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
111.0,27 Oktober 2020,86329.0,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
112.0,10 Desember 2020,90788.0,ATM20003001,BKP PADANG 1,Installation ,Installation ,"Instalasi ATM, Check all devices, test OK. ", , , , ,Doni Indra ,
113.0,29 Mei 2020,82311.0,ATM20003002,SPBU KHATIB SULAIMAN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
114.0,30 Maret 2020,82348.0,ATM20003002,SPBU KHATIB SULAIMAN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
115.0,18 Februari 2020,85019.0,ATM20003002,SPBU KHATIB SULAIMAN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
116.0,30 Juli 2020,86291.0,ATM20003002,SPBU KHATIB SULAIMAN,PM 2 ,Preventive Maintenance ,"General Maintenance, Check & Clean all device, replace fs1 rak3,ta 1 rak 3 ,sw 1 rak 3,test OK. ", ,Feedshaft *OPTEVA* ,1 , ,Doni Indra ,
